CHARACTER,CHARACTER,CHINESE,ENGLISH,ENGLISH->SPANISH,CHINESE->SPANISH,SPANISH
,,受惊,Startled,Asustado,atemorizado,Asustarse
,,警戒,Alert,Alerta,Vigilancia,Alerta
,,试探,Probe,Sonda,tentación,Explorar
,,撕咬,Bite,Morder,Morder,Morder
,,目见母亲,Ad Matrem Vocatus,Ad Matrem Vocatus,Viendo a mi madre,Ver a la madre
,,古老的爱抚,Ancient Caress,Caricia antigua,Caricia antigua,Caricia antigua
,,圣血的本能,Sacred Blood's Instinct,El instinto de la sangre sagrada,Instinto de sangre santa,El instinto de la sangre sagrada
,,绵长恨怨,Lasting Loathe,Odio duradero,Odio y resentimiento duraderos,Rencor prolongado
,,全体护盾,Team Shield,Escudo del equipo,Escudo integral,Barrera grupal
,,拥抱融蚀,Embrace Dissolution,Abrazar la disolución,Abrazar la erosión,Abrazo erosivo
,,灯芯长明,Everlasting Flame,Llama eterna,La mecha permanece encendida,Mecha que arde eternamente
,,圣礼仪式,Rite of Sanctity,Rito de Santidad,Sacramento,Rito de Santidad
,,祈祷,Prayer,Oración,orar,Rezar
,,明灭,Flicker,Parpadeo,parpadeo,Parpadeo
,,永恒狂猎,Eternal Hunt,Caza eterna,Caza salvaje eterna,Caza salvaje eterna
,,现世撕裂,Reality Sunder,La realidad se rompe,El mundo está destrozado,Desgarro de la realidad
,,精神啃噬,Spirit Gnaw,Espíritu roe,Mordedura mental,Devastación mental
,,异维瞪视,Interdimensional Glare,Resplandor interdimensional,Mirada alienígena,Mirada extradimensional
,,丧钟遥鸣,Knell of Death,Toque de difuntos,La sentencia de muerte,Tañido lejano de la campana fúnebre
,,疾病缠身,Plaguebearer's Affliction,Aflicción del portador de plaga,Sufriendo de enfermedad,Enfermedad persistente
,,沉逝苦海,Drowning in Sorrow,Ahogándose en el dolor,Hundiéndose en el mar del sufrimiento,Océano de dolor
,,初生之咒,Neonate's Hex,El maleficio del neonato,La maldición del nacimiento,El maleficio del neonato
,,殉身,Martyrdom,Martirio,martirio,Martirio
,,脆弱毒素,Toxin of Fragility,Toxina de la fragilidad,Toxinas frágiles,Toxina de la fragilidad
,,蛸吻,Cephalock,Cefalo,Pulpo,Pulpo
,,蜕变,Metamorphosis,Metamorfosis,Transformación,Metamorfosis
,,虔诚,Devotion,Devoción,Piadoso,Devoción
,,标记猎物,Mark the Prey,Marcar la presa,Marcar presas,Marcar la presa
,,礁化,Coralization,Coralización,reefización,Coralización
,,珊瑚赘生,Coral Hyperplasia,Hiperplasia de coral,Crecimiento de los corales,Crecimiento de los corales
,,加速礁化,Rapid Petrifaction,Petrificación rápida,Arrecifes acelerados,Coralización acelerada
,,深海洗礼,Abyssal Rite,Rito Abisal,Bautismo en aguas profundas,Bautismo del abismo
,,离散,Discrete,Discreto,Discreto,Discreto
,,恶诞,Grotesque,Grotesco,Absurdo,Grotesco
,,孽诞,Spawn of Sin,Engendro del pecado,Absurdo,Engendro del mal
,,吮吸,Suction,Succión,chupar,Succión
,,眷族！,Kins!,¡Parientes!,¡Clan!,¡Clan!
,,利莫里亚的荣光！,Glory of Lemuria!,¡Gloria de Lemuria!,¡Gloria a Lemuria!,¡Gloria a Lemuria!
,,无上生祭,Exalted Pyre,Pira exaltada,Sacrificio Supremo de Vida,Sacrificio supremo
,,神眷之刃,Divine Edge,Filo divino,La espada de Dios,Filo divino
,,应选之人,The Chosen One,El Elegido,La persona que será elegida,El Elegido
,,召唤,Summon,Convocar,llamar,Invocar
,,苦痛永存,Eternal Suffering,Sufrimiento eterno,El dolor dura para siempre,Sufrimiento eterno
,,献祭,Sacrifice Ritual,Ritual de sacrificio,Sacrificio,Sacrificio
,,癫狂打击,Frenzied Strike,Huelga frenética,Huelga loca,Atque Frenetico
,,血之灯,Blood Lantern,Linterna de sangre,Lámpara de sangre,Lámpara de sangre
,,双重啃咬,Double Gnaw,Doble roído,Doble mordida,Doble mordisco
,,症状：萎缩,Symptom: Atrophy,Síntoma: Atrofia,Síntomas: Atrofia,Síntoma: Atrofia
,,症状：恐怖,Symptom: Terror,Síntoma: Terror,Síntomas: Terror,Síntoma: Terror
,,融蚀,Dissolution,Disolución,Ablación,Disolución
,,维度穿行,Dimensional Traverse,Travesía dimensional,Viajes dimensionales,Viajes dimensionales
,,被注视……！,Being Watched...!,¡Siendo observado...!,¡Siendo observado...!,¡Siendo observado...!
,,维度闭锁,Dimension Lock,Bloqueo de dimensión,Bloqueo dimensional,Bloqueo dimensional
,,晚期症状：暴虐,Late-Stage Symptom: Rage,Síntoma de etapa tardía: rabia,Síntomas tardíos: Violencia,Síntoma avanzado: Brutalidad
,,晚期症状：共感,Late-Stage Symptom: Symbiosis,Síntoma de etapa tardía: simbiosis,Síntomas de la etapa tardía: empatía,Síntoma avanzado: Simbiosis
,,晚期症状：躁狂,Late-Stage Symptom: Frenzy,Síntoma de etapa tardía: Frenesí,Síntomas tardíos: manía,Síntoma avanzado: Frenesí
,,症状：妄想,Symptom: Delusion,Síntoma: Delirio,Síntomas: Delirios,Síntoma: Delirio
,,症状：癫痫,Symptom: Epilepsy,Síntoma: Epilepsia,Síntomas: Epilepsia,Síntoma: Epilepsia
,,症状：疯狂,Symptom: Madness,Síntoma: Locura,Síntomas: Locura,Síntoma: Aliemus
,,症状：衰弱,Symptom: Weakness,Síntoma: Debilidad,Síntomas: Debilidad,Síntoma: Debilidad
,,症状：崩溃,Symptom: Breakdown,Síntoma: Colapso,Síntoma: Accidente,Síntoma: Colapso
,,症状：毁灭,Symptom: Destruction,Síntoma: Destrucción,Síntomas: Destrucción,Síntoma: Destrucción
,,症状：痉挛,Symptom: Spasms,Síntoma: Espasmos,Síntomas: Calambres,Síntoma: Convulsion
,,症状：幽闭,Symptom: Claustrophobia,Síntoma: Claustrofobia,Síntomas: Claustrofobia,Síntoma: Claustrofobia
,,症状：呓语,Symptom: Somniloquy,Síntoma: Somniloquia,Síntomas: Hablar incoherentemente,Síntoma: Balbuceo
,,症状：癔想,Symptom: Hysteria,Síntoma: Histeria,Síntomas: Histeria,Síntoma: Histeria
,,症状：颓丧,Symptom: Despondency,Síntoma: Desánimo,Síntomas: Depresión,Síntoma: Depresión
,,症状：休克,Symptom: Shock,Síntoma: Shock,Síntomas: Shock,Síntoma: Shock
,,症状：谵妄,Symptom: Delirium,Síntoma: Delirio,Síntomas: Delirio,Síntoma: Confusión mental
,,症状：盲从,Symptom: Obedience,Síntoma: Obediencia,Síntomas: Obediencia ciega,Síntoma: Sumisión
,,症状：多疑,Symptom: Suspicion,Síntoma: Sospecha,Síntomas: Sospecha,Síntoma: Paranoia
,,症状：兴奋,Symptom: Excitement,Síntoma: Excitación,Síntomas: Excitación,Síntoma: Euforia
,,镇定之铃,Soothing Bell,Campana relajante,Campana calmante,Campana Relajante
,,迷惑,Confusion,Confusión,molesto,Molestia
,,渔叉,Barbed Trident,Tridente de púas,Arpón,Arpón
,,阳伞,Parasol,Sombrilla,sombrilla,Sombrilla
,,美丽瞬间,Fleeting Beauty,Belleza fugaz,Hermoso momento,Belleza fugaz
,,过往回声,Echoes of the Past,Ecos del pasado,Ecos del pasado,Ecos del pasado
,,毒性侵染,Toxic Infusion,Infusión tóxica,Infección tóxica,Infección tóxica
,,毒性发作,Toxic Outbreak,Brote tóxico,Ataque tóxico,Ataque Venenoso
,,遗影回响,Echoes of Lost Shadows,Ecos de sombras perdidas,Ecos del legado,Ecos de una sombra perdida
,,混沌充能,Chaos Charge,Carga del Caos,Carga del Caos,Carga del Caos
,,朊朊病毒,Prion Virus,Virus priónico,Priones,Virus priónico
,,吸附,Adsorption,Adsorción,adsorción,Adsorción
,,固化,Solidify,Solidificar,Curación,Solidificación
,,无餍打击,Gluttonous Attack,Ataque glotón,Huelga insaciable,Golpe insaciable
,,单向,One-way,De una sola mano,unidireccional,Unidireccional
,,集结,Assemble,Armar,Asamblea,Reunión
,,复苏之茧,Cocoon of Revival,Capullo de Renacimiento,Capullo de resurgimiento,Capullo de Renacimiento
,,蛹化,Pupation,Pupación,pupación,Pupación
,,胚胎,Embryo,Embrión,embrión,Embrión
,,圣洁之子,Scion of Purity,Vástago de la Pureza,Santo Hijo,Hijo sagrado
,,超限链接,Overlimit Link,Enlace de sobrelímite,Enlace de sobrelímite,Enlace Ilimitado
,,代行者之裁,Executor's Verdict,Veredicto del albacea,El juicio del agente,Juicio del ejecutor
拉蒙娜,#REF!,防御,Defence,Defensa,defensa,Defensa
拉蒙娜,#REF!,第一哲学,First Doctrine,Primera Doctrina,Filosofía primera,Primera Doctrina
拉蒙娜,#REF!,女王之剑,Queen's Sword,Espada de la Reina,Espada de la Reina,Espada de la Reina
拉蒙娜,#REF!,攻势推演,Assault Thesis,Tesis del asalto,Simulación ofensiva,Simulación ofensiva
环行·拉蒙娜,#REF!,熵增逆转,Entropy Undone,Entropía deshecha,Reversión del aumento de entropía,Reversión de la entropía
环行·拉蒙娜,#REF!,命定之剑,Predetermined Strike,Huelga predeterminada,Espada del Destino,Espada del destino
环行·拉蒙娜,#REF!,超越之目,Sight Unbound,Vista sin límites,Ojos trascendentes,Ojos trascendentes
环行·拉蒙娜,#REF!,未来讴歌,Ode to Tomorrow,Oda al mañana,Acura del futuro,Oda al futuro
环行·拉蒙娜,#REF!,轮回之庭,Rebirth Tribunal,Tribunal del Renacimiento,Jardín del Samsara,Jardín del Samsara
奥吉尔,#REF!,不定壁垒,Unstable Barrier,Barrera inestable,Barreras inciertas,Barrera inestable
奥吉尔,#REF!,穿刺之枪,Piercing Strike,Golpe penetrante,Lanza perforante,Lanza perforante
朵尔,#REF!,灵肉两分,Flesh Detached,Carne desprendida,Dividir el alma y el cuerpo,Separación de cuerpo y alma
朵尔,#REF!,外域手术,Outer Surgery,Cirugía externa,Cirugía de Outland,Cirujia Extranjera
朵尔,#REF!,等价交换,Equivalent Exchange,Intercambio equivalente,Intercambio equivalente,Intercambio equivalente
熔毁·朵尔,#REF!,终点，真理与深渊之门,"Terminal, Gateway of Truth and Abyss","Terminal, Puerta de la Verdad y del Abismo","El Fin, la Puerta de la Verdad y el Abismo","El fin, la verdad y la puerta del abismo"
熔毁·朵尔,#REF!,灵魂瘟疫,Soulblight,Plaga del alma,Plaga del alma,Plaga del alma
熔毁·朵尔,#REF!,自毁改造,Self-Destruct,Autodestrucción,Transformación de autodestrucción,Autodestrucción
熔毁·朵尔,#REF!,宿命坍缩,Fate's Descent,El descenso del destino,Colapso del destino,Colapso del destino
熔毁·朵尔,#REF!,虚无终结,Illusion's End,El fin de la ilusión,El fin de la nada,Fin de la nada
熔毁·朵尔,#REF!,兴奋,Elation,Elación,entusiasmado,Excitación
熔毁·朵尔,#REF!,诅咒,Curse,Maldición,maldición,maldición
熔毁·朵尔,#REF!,自毁改造·终末,Self-Destruct: Finale,Autodestrucción: Final,Autodestrucción y transformación,Automejora destructiva · Fin
熔毁·朵尔,#REF!,宿命坍缩·终末,Fate's Descent: Finale,El descenso del destino: final,El colapso y el fin del destino,Colapso del destino · Fin
雷娅,#REF!,苦痛与欢愉,Pain and Pleasure,Dolor y placer,Dolor y alegría,Dolor y alegría
尤乌哈希,#REF!,红祭礼,Vermilion Rite,Rito Bermellón,Ceremonia Roja,Ceremonia Roja
尤乌哈希,#REF!,沸腾吧，血！,"Boil, Blood!","¡Hierve, sangre!",¡Hierve tu sangre!,"¡Hierve, sangre!"
尤乌哈希,#REF!,尖啸吧，血！,"Screech, Blood!","¡Chillido, sangre!","¡Grita, sangre!","¡Grita, sangre!"
希洛,#REF!,不规则形态,Irregular Form,Forma irregular,Forma irregular,Forma irregular
泰旖丝,#REF!,恐惧之血,Blood of Fear,Sangre del miedo,Sangre del miedo,Sangre del miedo
泰旖丝,#REF!,溃烂之血,Blood of Decay,Sangre de descomposición,Sangre supurante,Sangre Gangrenada
泰旖丝,#REF!,生殖之血,Blood of Coition,Sangre de coito,Sangre reproductiva,Sangre Reproductiva
萨尔瓦多,#REF!,「赐福」,Benediction,Bendición,Bendición,Bendición
萨尔瓦多,#REF!,受祝骨血,Blessed are the Bones,Benditos sean los huesos,Hueso y sangre benditos,Huesos y sangre bendecidos
萨尔瓦多,#REF!,应消之苦,End of Suffering,Fin del sufrimiento,Sufrimiento que debe ser eliminado,Fin del sufrimiento
萨尔瓦多,#REF!,奉献,Dedication,Dedicación,Dedicación,Dedicación
萨尔瓦多,#REF!,超度,Liberation,Liberación,salvación,salvación
萨尔瓦多,#REF!,救赎,Redemption,Redención,Redención,Redención
萨尔瓦多,#REF!,护以仁爱,Sanctuary of Mercy,Santuario de la Misericordia,Proteger con amor,Proteger con amor
索蕾尔,#REF!,迎客特权,Host Lady's Privilege,Privilegio de la dama anfitriona,Privilegios de bienvenida,Privilegios de bienvenida
索蕾尔,#REF!,蔷薇之美,Elegance of Rose,Elegancia de rosa,La belleza de las rosas,La belleza de las rosas
索蕾尔,#REF!,珠玉之卵,Diamond in the Rough,Diamante en bruto,Huevo de perla,Diamante en bruto
阿格里帕,#REF!,迷途之旅,Path of the Lost,Camino de los Perdidos,Viaje perdido,Viaje perdido
阿格里帕,#REF!,不耐的施舍,Reluctant Alms,Limosna reticente,Caridad impaciente,Caridad impaciente
阿格里帕,#REF!,苍白回旋,Colorless Spiral,Espiral incolora,Remolino pálido,Remolino pálido
菲茵特,#REF!,无边星彩,Boundless Starlight,Luz estelar sin límites,Estrellas ilimitadas,Estrella Brillante Ilimitada
菲茵特,#REF!,养分汲取,Nutrient Absorption,Absorción de nutrientes,Absorción de nutrientes,Absorción de nutrientes
菲茵特,#REF!,幼芽萌生,Sprouting Bud,Brote de brote,los brotes brotan,Brote Germinante
希莱斯特,#REF!,庇佑之力,Power of Blessing,Poder de la bendición,Poder de protección,Fuerza protectora
希莱斯特,#REF!,纯白梦境,Tintless Dream,Sueño sin tinte,Sueño blanco puro,Sueño puro
希莱斯特,#REF!,永存的幻影,Everlasting Phantasm,Fantasma eterno,Fantasma eterno,Fantasma eterno
凯刻斯,#REF!,蜕变之躯,Metamorphosed Body,Cuerpo metamorfoseado,Cuerpo transformado,Cuerpo metamórfico
凯刻斯,#REF!,逆鳞之护,Protective Scales,Escamas protectoras,Protección de la escala inversa,Escamas protectoras
凯刻斯,#REF!,破碎沉戟,Shattered Halberd,Alabarda destrozada,Alabarda rota,Alabarda Destrozada
奥瑞塔,#REF!,自我增殖,Self-Proliferation,Autoproliferación,Autopropagación,Autoproliferación
奥瑞塔,#REF!,腺体分裂,Gland Division,División de glándulas,División glandular,División glandular
奥瑞塔,#REF!,同伴的力量,Power of Friendship,El poder de la amistad,El poder de los compañeros,Poder de los compañeros
法洛思,#REF!,湮塞的执念,Abyssal Obsession,Obsesión abisal,Obsesión del olvido,Obsesión sepultada
法洛思,#REF!,狂热之海,Ocean of Elation,Océano de euforia,Mar de Frenesí,Océano de frenesí
法洛思,#REF!,深邃暗流,Deep Currents,Corrientes profundas,Corriente subterránea profunda,Corrientes profundas
珊,#REF!,忘我之境,Realm of Oblivion,Reino del Olvido,Un estado de éxtasis,Reino del Olvido
珊,#REF!,美的怜悯,Beauty's Mercy,La misericordia de la belleza,La misericordia de la belleza,La misericordia de la belleza
珊,#REF!,封闭创作,Opus of Isolation,Opus de Aislamiento,Creación cerrada,Obra confinada
弥利亚姆,#REF!,信仰的见证,Testament of Faith,Testamento de fe,Testimonio de fe,Testimonio de fe
弥利亚姆,#REF!,信仰的歧路,Heretical Faith,Fe herética,El camino equivocado de la fe,Fe herética
弥利亚姆,#REF!,坚守自我,Iron Resolve,Resolución de hierro,Mantente fiel a ti mismo,Resolución de hierro
弥利亚姆,#REF!,投身启示,Revelate Devotion,Revelar la devoción,Comprométete con la Revelación,Entregarse a la revelación
弥利亚姆,#REF!,信仰的终结,The End of Belief,El fin de la creencia,El fin de la fe,Fin de la fe
弥利亚姆,#REF!,执妄,Obsession,Obsesión,Engaño,Engaño
弥利亚姆,#REF!,圣礼,Sacrament,Sacramento,Sacramentos,Sacramento
墨菲,#REF!,受造之物,Made Into Being,Hecho en existencia,Creación,Creación
墨菲,#REF!,螺湮逆流,Vortex Reversed,Vórtice invertido,contracorriente de luohuang,Vórtice invertido
墨菲,#REF!,圣女作成,Divine Maiden's Birth,Nacimiento de la Divina Doncella,Se crea el Santo,Consagración de la santa
戈利亚,#REF!,巨刃之威,Blade's Dominion,Dominio de Blade,El poder de la espada gigante,Poder de la gran espada
戈利亚,#REF!,篡夺,Usurp,Usurpar,usurpar,Usurpación
戈利亚,#REF!,蛰伏,Dormancy,Inactividad,latente,Acecho
图鲁,#REF!,不朽威仪,Immortal Majesty,Majestad inmortal,Majestad inmortal,Majestad inmortal
图鲁,#REF!,深渊号令,Abyss Order,Orden del Abismo,Comando Abisal,Orden del abismo
图鲁,#REF!,螺湮重临,When Lemuria Returns,Cuando Lemuria regresa,Luo Yan regresa,Retorno del remolino abisal
宁菲亚,#REF!,夜潮汹涌,Midnight Tide,Marea de medianoche,La marea nocturna está subiendo,Marea de medianoche
诺缔拉,#REF!,维修大师,Maintenance Expert,Experto en mantenimiento,Maestro de mantenimiento,Maestro de mantenimiento
诺缔拉,#REF!,高热区禁入,No Trespassing,Prohibido el paso,No se permite el acceso a zonas de alta temperatura,Prohibido el paso
诺缔拉,#REF!,短期记忆,Short-Term Memory,Memoria a corto plazo,memoria a corto plazo,Memoria a corto plazo
「24」,24,调停人格,Mediating Personalities,Personalidades mediadoras,Personalidad mediadora,Personalidad conciliadora
艾尔瓦,#REF!,战地卓识,Outstanding Veteran,Veterano destacado,Perspectiva del campo de batalla,Clarividencia bélica
艾尔瓦,#REF!,临战体势,Combat Stance,Postura de combate,Postura de batalla,Postura de combate
艾尔瓦,#REF!,心眼利刃,Precision Slash,Corte de precisión,Hoja afilada del corazón,Corte de precisión
珈伦,#REF!,凸月之舞,Dance of the Gibbous Moon,Danza de la Luna Gibosa,Danza de la Luna Gibosa,Danza de la Luna Gibosa
珈伦,#REF!,蟾蜍炖菜,Toad Stew,Estofado de sapo,Estofado de sapo,Estofado de sapo
珈伦,#REF!,静默守望,Silent Fealty,Lealtad silenciosa,Reloj silencioso,Vigilia silenciosa
珈伦,#REF!,奇妙料理,Marvelous Cuisine,Cocina maravillosa,cocina extraña,cocina extraña
莉莉,#REF!,黏液汇集,Slime Convergence,Convergencia de limo,Acumulación de moco,Acumulacion de lodo
莱克,#REF!,绝佳运气,Exceptional Luck,Suerte excepcional,Excelente suerte,Suerte excepcional
莱克,#REF!,意外收获,Unexpected Gain,Ganancia inesperada,ganancia inesperada,Recompensa inesperada
莱克,#REF!,摊牌时刻,Showdown,Confrontación,Confrontación,Confrontación
莱克,#REF!,偏方骰子,Octahedron Dice,Dados de octaedro,Dados de remedios populares,Dado de remedio especial
莱克,#REF!,闪耀偏方骰子,Shining Octahedron Die,Troquel de octaedro brillante,Dados de recetas de Shining Folk,Dado de remedio brillante
莱克,#REF!,庄家通吃,House Wins All,La casa lo gana todo,El banquero se lo lleva todo,La banca Gana
莉兹,#REF!,翡翠映像,Emerald Reflection,Reflejo Esmeralda,Vídeo de Jade,Reflejo de jade
莉兹,#REF!,诱蛾之火,Moth-Trapping Fire,Fuego que atrapa polillas,Fuego que atrae polillas,Llama seductora
莉兹,#REF!,绿炎,Green Flames,Llamas verdes,Llama verde,Llama verde
莉兹,#REF!,腐化绿炎,Corrupted Flames,Llamas corruptas,Llama Verde de la Corrupción,Llama verde corrupta
莉兹,#REF!,死灭绿炎,Deadly Flames,Llamas mortales,Llama verde de la muerte,Llama verde mortal
旺达,#REF!,深眠反击,Slumber Counter,Contador de sueño,Contraataque del sueño profundo,Contraataque del sueño profundo
旺达,#REF!,呓语回音,Echoes of Whispers,Ecos de susurros,Eco de susurros,Eco de susurros
旺达,#REF!,催眠脉络,Hypnotic Veins,Venas hipnóticas,Contexto hipnótico,Trama hipnótica
旺达,#REF!,活尸梦呓,Living Dead's Delirium,El delirio de los muertos vivientes,Charla de sueño de zombi,Murmullos del zombi
旺达,#REF!,迷途之守,Keeper of the Lost,Guardián de lo perdido,Guardián de los perdidos,Centinela extraviado
旺达,#REF!,脊刺锁链,Spine Needle Chains,Cadenas de agujas para columna vertebral,Cadenas de columna,Cadenas espinales
达芙黛尔,#REF!,维度投射,Dimensional Projection,Proyección dimensional,Proyección dimensional,Proyección dimensional
达芙黛尔,#REF!,断颈一击,Skull Reaver,Devastador de calaveras,Golpe demoledor,Golpe quebracuellos
达芙黛尔,#REF!,异质潮汐,Heterogeneous Tides,Mareas heterogéneas,Mareas heterogéneas,Mareas heterogéneas
达芙黛尔,#REF!,千面幻象,Thousand Mirage,Mil espejismos,La ilusión de las mil caras,Mil espejismos
达芙黛尔,#REF!,妙手,Finesse,Finura,Manos hábiles,Pericia
达芙黛尔,#REF!,筹算,Computation,Cálculo,cálculo,Planificación
达芙黛尔,#REF!,催化,Catalyst,Catalizador,catalítico,Catálizador
达芙黛尔,#REF!,高维妙手,Hpr. Finesse,Hpr. Finesse,Manos mágicas de alta dimensión,Ultra Pericia
达芙黛尔,#REF!,高维筹算,Hpr. Computation,Cálculo de HPR,Computación de alta dimensión,Ultra Planificación
达芙黛尔,#REF!,高维易伤,Hpr. Vulnerable,Hpr. Vulnerable,Vulnerabilidad de alta dimensión,Ultra Vulnerabilidad
达芙黛尔,#REF!,高维虚弱,Hpr. Weakness,Hpr. Debilidad,Debilidad de alta dimensión,Ultra Debilidad
达芙黛尔,#REF!,高维狂气,Hpr. Aliemus,Hpr. Aliemus,Locura de alta dimensión,Ultra Aliemus
达芙黛尔,#REF!,高维催化,Hpr. Catalysis,Catálisis Hpr.,Catálisis de alta dimensión,Ultra Catalizador
达芙黛尔,#REF!,高维灵感,Hpr. Insight,Hpr. Insight,Inspiración de alta dimensión,Ultra Inspiración
达芙黛尔,#REF!,暴击,Critical Hit,Golpe crítico,Golpe crítico,Golpe crítico
达芙黛尔,#REF!,穿刺,Pierce,Atravesar,punción,Perforar
达芙黛尔,#REF!,检索,Retrieve,Recuperar,Buscar,Buscar
达芙黛尔,#REF!,巨力,Brawn,Queso de cerdo,Julio,Robustez
达芙黛尔,#REF!,钥能,Keyflare,Keyflare,Energía clave,Llave Plateada
达芙黛尔,#REF!,定向催化,Directed Catalysis,Catálisis dirigida,Catálisis dirigida,Catálisis dirigida
达芙黛尔,#REF!,暴击推演,Critical Fateweaving,Tejido crítico del destino,Deducción de golpe crítico,Simulacion de Critico
达芙黛尔,#REF!,精算检索,Precise Retrieval,Recuperación precisa,Búsqueda actuarial,Búsqueda calculada
达芙黛尔,#REF!,高维巨力,Hpr. Brawn,Hpr. Brawn,Fuerza gigante de alta dimensión,Ultra Robustez
达芙黛尔,#REF!,祝福,Blessing,Bendición,bendecir,Bendición
达芙黛尔,#REF!,穿刺暴击,Pierce Critical Hit,Golpe crítico de perforación,Golpe crítico penetrante,Perforación Critica
达芙黛尔,#REF!,高维定向催化,Hpr. Directed Catalysis,Catálisis dirigida por HPR,Catálisis dirigida de alta dimensión,Ultra catalización Dirigida
达芙黛尔,#REF!,高维钥能,Hpr. Keyflare,Hpr. Keyflare,Energía clave de alta dimensión,Ultra Llave Plateada
汀克特,#REF!,界外之音,Voices from Beyond,Voces del más allá,Voces del más allá,Voces del más allá
汀克特,#REF!,安魂曲,Requiem,Réquiem,Réquiem,Réquiem
汀克特,#REF!,绵音渐响,Distant Melody,Melodía distante,El sonido se vuelve gradualmente más fuerte.,Melodía creciente
温柯尔,#REF!,自我封锁,Self-Imprisonment,Autoencarcelamiento,Autoaislamiento,Autoencarcelamiento
温柯尔,#REF!,能量射线,Energy Beam,Rayo de energía,Rayos de energía,Rayo de energía
温柯尔,#REF!,精神重建,Psyche Reforged,Psique reforjada,Reconstrucción espiritual,Reconstrucción mental
奥尔拉,#REF!,狂想诗篇,Snarl Psalm,Salmo Gruñido,Rapsodia,Salmo del delirio
奥尔拉,#REF!,哀恸诗篇,Elegy Psalm,Salmo elegía,Salmos de lamento,Salmo del lamento
奥尔拉,#REF!,纷华篇章,Resplendent Chapters,Capítulos resplandecientes,Un capítulo glorioso,Capitulo Resplandeciente
奥尔拉,#REF!,诗册序言,Prelude Verse,Verso de preludio,Prefacio al Álbum de Poesía,Introducción poética
奥尔拉,#REF!,幻梦诗篇,Carol Psalm,Salmo villancico,Poemas de sueños,Salmo Ilusorio
奥尔拉,#REF!,诡谲诗篇,Dirge Psalm,Salmo fúnebre,Poemas extraños,Salmo Funebre
詹金,#REF!,超级大集结！,Ultimate Assemble!,¡El mejor montaje!,¡Gran reunión!,¡Gran reunión!
詹金,#REF!,无,Null,Nulo,ninguno,Nada
艾瑞卡,#REF!,参数拟合,Parameter Fitting,Ajuste de parámetros,Ajuste de parámetros,Ajuste de parámetros
艾瑞卡,#REF!,机械武装-放,Unleash: Mecha,Desatar: Mecha,Liberación de armamento mecánico,Mecha: Liberar
艾瑞卡,#REF!,机能过载,Function Overload,Sobrecarga de funciones,Sobrecarga funcional,Sobrecarga de los sistemas
艾瑞卡,#REF!,机械武装-敛,Retract: Mecha,Retraer: Mecha,Convergencia de armamento mecánico,Mecha: Replegar
卡茜亚,#REF!,演出序幕,Opening Act,Acto de apertura,Prólogo de la actuación,Acto de apertura
卡茜亚,#REF!,隔空取物,Telekinesis,Telequinesia,Telequinesia,Telekinesis
卡茜亚,#REF!,统统消失！,Poof!,¡Maricón!,¡Todos desaparecieron!,Poof!
克莱门汀,#REF!,转化·恐惧固着,Conversion: Phobic Fixation,Conversión: Fijación fóbica,Transformación y fijación del miedo,Transformación · Fijación del miedo
克莱门汀,#REF!,转化·精神创伤,Conversion: Psychic Trauma,Conversión: Trauma psíquico,Transformación y trauma,Transformación · Trauma mental
克莱门汀,#REF!,妖虫的呼唤,Call of Shaggai,La llamada de Shaggai,El llamado del insecto,La llamada de Shaggai
克莱门汀,#REF!,痛苦榨取,Pain Extraction,Extracción del dolor,Extracción del dolor,Extracción del dolor
克莱门汀,#REF!,精神抚慰,Soulsalve,Bálsamo para el alma,Consuelo espiritual,Consuelo espiritual
哈姆林,#REF!,原初的乐音,Primal Chord,Acorde Primal,Música original,Melodía original
哈姆林,#REF!,此曲应得称颂,Laudable Masterpiece,Obra maestra loable,Esta canción merece elogios,Canto digno de elogio
哈姆林,#REF!,灵魂序曲,Soul Overture,Obertura del alma,Preludio del alma,Preludio del alma
哈姆林,#REF!,追忆回旋曲,Memory Rondo,Rondo de la memoria,Rondo del Recuerdo,Rapsodia evocadora
哈姆林,#REF!,协乐的交响,Symphony of Harmony,Sinfonía de armonía,Sinfonía del Concertgebouw,Sinfonía de armonía
哈姆林,#REF!,上行音,Ascending Scale,Escala ascendente,tono ascendente,Nota ascendente
哈姆林,#REF!,下行音,Descending Scale,Escala descendente,tono descendente,Nota descendente
血链·希洛,#REF!,缚身锁链,Sanguine Fetters,Grilletes sanguíneos,Cadenas corporales,Cadenas restrictivas
血链·希洛,#REF!,索魂者宣言,Reaper's Declaration,Declaración del Segador,Declaración del buscador de almas,Cazador de almas
血链·希洛,#REF!,恨意宣泄,Hatred Unleashed,Odio desatado,Desahogando el odio,Expulsar rencor
血链·希洛,#REF!,鲜血链条,Crimson Shackles,Grilletes carmesí,Cadena de sangre,Cadena de sangre
血链·希洛,#REF!,嗜血链球,Bloodthirsty Flail,Mayal sediento de sangre,Bola de cadena sedienta de sangre,Cadena esferica sanguinaria
血链·希洛,#REF!,不规则形态 · 血链,Irregular Form: Chains,Forma irregular: cadenas,Forma irregular · Cadena sanguínea,Forma irregular · Cadena de sangre
塔薇,#REF!,穿越银钥之门,The Silver Key Gate,La Puerta de la Llave de Plata,A través de la Puerta de la Llave de Plata,Puerta de la Llave Plateada
